"filename", "language", "C++", "comment", "blank", "total"
"b:\OneDrive\OneDrive - Colegiul National Samuel von Brukenthal\Desktop\PrjSclNN\src\main.cpp", "C++", 12, 0, 5, 17
"b:\OneDrive\OneDrive - Colegiul National Samuel von Brukenthal\Desktop\PrjSclNN\src\tempCodeRunnerFile.cpp", "C++", 8, 0, 4, 12
"Total", "-", 20, 0, 9, 29
