"filename", "language", "C++", "comment", "blank", "total"
"b:\OneDrive\OneDrive - Colegiul National Samuel von Brukenthal\Desktop\PrjSclNN\demos\demo1.cpp", "C++", 56, 23, 43, 122
"b:\OneDrive\OneDrive - Colegiul National Samuel von Brukenthal\Desktop\PrjSclNN\demos\demo2.cpp", "C++", 95, 23, 38, 156
"b:\OneDrive\OneDrive - Colegiul National Samuel von Brukenthal\Desktop\PrjSclNN\demos\tempCodeRunnerFile.cpp", "C++", 1, 0, 0, 1
"Total", "-", 152, 46, 81, 279
